Tarih	Urun	SatisNetTutar	Kur	Sicaklik
2014-05-17	Sebze	10834.95	2,1019	17,89
2014-05-18	Meyve	13134.95	2,1019	17,56
2014-05-18	Sebze	10902.66	2,1019	17,56
2014-05-19	Meyve	14356.4	2,1019	19,33
2014-05-19	Sebze	12243.62	2,1019	19,33
2014-05-20	Meyve	11707.95	2,1019	19,67
2014-05-20	Sebze	10576.0	2,1019	19,67
2014-05-21	Meyve	10365.73	2,1083	20,22
2014-05-21	Sebze	8649.58	2,1083	20,22
2014-05-22	Meyve	10110.5	2,1110	20,06
2014-05-22	Sebze	7631.95	2,1110	20,06
2014-05-23	Meyve	14757.61	2,0958	19,33
2014-05-23	Sebze	9312.78	2,0958	19,33
2014-05-24	Meyve	15806.3	2,0883	19,33
2014-05-24	Sebze	12446.11	2,0883	19,33
2014-05-25	Meyve	16953.89	2,0883	20,61
2014-05-25	Sebze	13372.75	2,0883	20,61
2014-05-26	Meyve	11118.72	2,0883	21,61
2014-05-26	Sebze	9067.05	2,0883	21,61
2014-05-27	Meyve	10297.59	2,0885	21,89
2014-05-27	Sebze	8076.5	2,0885	21,89
2014-05-28	Meyve	10995.36	2,1011	23,50
2014-05-28	Sebze	7522.09	2,1011	23,50
2014-05-29	Meyve	10735.8	2,1083	24,72
2014-05-29	Sebze	7357.61	2,1083	24,72
2014-05-30	Meyve	11754.53	2,0959	20,44
2014-05-30	Sebze	9527.16	2,0959	20,44
2014-05-31	Meyve	16941.59	2,0954	18,44
2014-05-31	Sebze	12784.56	2,0954	18,44
2014-06-01	Meyve	8506.5	2,1726	9,39
2014-06-01	Sebze	11545.98	2,1726	9,39
2014-06-02	Meyve	8219.35	2,2434	5,61
2014-06-02	Sebze	9248.48	2,2434	5,61
2014-06-03	Meyve	8000.0	2,2114	13,00
2014-06-03	Sebze	9638.53	2,2114	13,00
2014-06-04	Meyve	14106.03	2,1393	14,56
2014-06-04	Sebze	18711.54	2,1393	14,56
2014-06-05	Meyve	11024.38	2,1004	14,50
2014-06-05	Sebze	9592.88	2,1004	14,50
2014-06-06	Meyve	10363.03	2,1126	18,94
2014-06-06	Sebze	8498.21	2,1126	18,94
2014-06-07	Meyve	13651.09	2,1320	23,83
2014-06-07	Sebze	11561.07	2,1320	23,83
2014-06-08	Meyve	7999.83	2,1302	29,61
2014-06-08	Sebze	7724.39	2,1302	29,61
2014-06-09	Meyve	10197.83	2,1674	24,89
2014-06-09	Sebze	11426.9	2,1674	24,89
2014-06-10	Meyve	7644.93	2,2714	18,00
2014-06-10	Sebze	8279.43	2,2714	18,00
2014-06-11	Meyve	6610.79	2,2220	15,06
2014-06-11	Sebze	8313.2	2,2220	15,06
2014-06-12	Meyve	11771.76	2,2347	12,67
2014-06-12	Sebze	13880.93	2,2347	12,67
2014-06-13	Meyve	9730.54	2,1096	22,22
2014-06-13	Sebze	7629.81	2,1096	22,22
2014-06-14	Meyve	13187.49	2,1236	23,72
2014-06-14	Sebze	8383.85	2,1236	23,72
2014-06-15	Meyve	14358.7	2,1236	23,89
2014-06-15	Sebze	9804.06	2,1236	23,89
2014-06-16	Meyve	11921.63	2,1236	23,56
2014-06-16	Sebze	9052.74	2,1236	23,56
2014-06-17	Meyve	11046.23	2,1414	24,00
2014-06-17	Sebze	8499.53	2,1414	24,00
2014-06-18	Meyve	10895.5	2,1384	25,00
2014-06-18	Sebze	7186.61	2,1384	25,00
2014-06-19	Meyve	10553.22	2,1472	23,22
2014-06-19	Sebze	6753.97	2,1472	23,22
2014-06-20	Meyve	13551.73	2,1306	20,83
2014-06-20	Sebze	8189.08	2,1306	20,83
2014-06-21	Meyve	15893.56	2,1411	21,00
2014-06-21	Sebze	9149.15	2,1411	21,00
2014-06-22	Meyve	14298.84	2,1411	20,72
2014-06-22	Sebze	10732.99	2,1411	20,72
2014-06-23	Meyve	12559.84	2,1411	22,56
2014-06-23	Sebze	9067.15	2,1411	22,56
2014-06-24	Meyve	9798.25	2,1431	24,17
2014-06-24	Sebze	7385.45	2,1431	24,17
2014-06-25	Meyve	8877.46	2,1351	24,67
2014-06-25	Sebze	6141.22	2,1351	24,67
2014-06-26	Meyve	10050.95	2,1423	27,44
2014-06-26	Sebze	6682.92	2,1423	27,44
2014-06-27	Meyve	10616.34	2,1330	25,50
2014-06-27	Sebze	9727.76	2,1330	25,50
2014-06-28	Meyve	17073.16	2,1272	22,56
2014-06-28	Sebze	13465.43	2,1272	22,56
2014-06-29	Meyve	14243.85	2,1272	22,67
2014-06-29	Sebze	11096.27	2,1272	22,67
2014-06-30	Meyve	11122.12	2,1272	23,33
2014-06-30	Sebze	8980.28	2,1272	23,33
2014-07-01	Meyve	7418.31	2,1918	9,44
2014-07-01	Sebze	9938.72	2,1918	9,44
2014-07-02	Meyve	8641.81	2,2289	5,44
2014-07-02	Sebze	10630.3	2,2289	5,44
2014-07-03	Meyve	7437.07	2,2039	10,50
2014-07-03	Sebze	10190.38	2,2039	10,50
2014-07-04	Meyve	9523.29	2,1393	10,89
2014-07-04	Sebze	14534.17	2,1393	10,89
2014-07-05	Meyve	10109.85	2,1004	14,11
2014-07-05	Sebze	9102.76	2,1004	14,11
2014-07-06	Meyve	14911.32	2,0934	21,67
2014-07-06	Sebze	9325.2	2,0934	21,67
2014-07-07	Meyve	10532.9	2,1320	25,28
2014-07-07	Sebze	9357.17	2,1320	25,28
2014-07-08	Meyve	7726.56	2,1658	24,28
2014-07-08	Sebze	8055.88	2,1658	24,28
2014-07-09	Meyve	11591.19	2,1674	23,89
2014-07-09	Sebze	11657.62	2,1674	23,89
2014-07-10	Meyve	9229.72	2,2714	19,33
2014-07-10	Sebze	11838.42	2,2714	19,33
2014-07-11	Meyve	7450.62	2,2333	15,67
2014-07-11	Sebze	9415.32	2,2333	15,67
2014-07-12	Meyve	11785.27	2,2342	13,83
2014-07-12	Sebze	14401.45	2,2342	13,83
2014-07-13	Meyve	14315.2	2,1260	24,28
2014-07-13	Sebze	10909.94	2,1260	24,28
2014-07-14	Meyve	10350.03	2,1260	26,06
2014-07-14	Sebze	8138.77	2,1260	26,06
2014-07-15	Meyve	8743.07	2,1216	25,67
2014-07-15	Sebze	7530.4	2,1216	25,67
2014-07-16	Meyve	9153.3	2,1238	25,06
2014-07-16	Sebze	7568.5	2,1238	25,06
2014-07-17	Meyve	9044.78	2,1267	25,50
2014-07-17	Sebze	6702.52	2,1267	25,50
2014-07-18	Meyve	9254.72	2,1259	25,11
2014-07-18	Sebze	7423.68	2,1259	25,11
2014-07-19	Meyve	12789.42	2,1304	24,17
2014-07-19	Sebze	11213.88	2,1304	24,17
2014-07-20	Meyve	12268.88	2,1304	25,06
2014-07-20	Sebze	9861.49	2,1304	25,06
2014-07-21	Meyve	9561.02	2,1304	25,78
2014-07-21	Sebze	7290.35	2,1304	25,78
2014-07-22	Meyve	7558.17	2,1304	27,22
