ozel_gun_adi	baslangic_tarihi_2014	bitis_tarihi_2014	baslangic_tarihi_2015	bitis_tarihi_2015	baslangic_tarihi_2016	bitis_tarihi_2016	baslangic_tarihi_2017	bitis_tarihi_2017	aciklama	ozel_gun_tipi	ozel_gun_tipi_aciklama	resmi_tatil
Etik Günü	25.05.2014	25.05.2014	25.05.2015	25.05.2015	25.05.2016	25.05.2016	25.05.2017	25.05.2017	Sabit	3	Sosyal-Özel Gün	0
Kızılay Haftası	26.01.2014	26.01.2014	26.01.2015	26.01.2015	26.01.2016	26.01.2016	10.01.2017	10.01.2017	Sabit	3	Sosyal-Özel Gün	0
İşçi Bayramı	01.05.2014	01.05.2014	01.05.2015	01.05.2015	01.05.2016	01.05.2016	01.05.2017	01.05.2017	Sabit	3	Sosyal-Özel Gün	1
Dünya Madenciler Günü	01.03.2014	07.03.2014	01.03.2015	07.03.2015	01.03.2016	07.03.2016	01.03.2017	07.03.2017	Sabit	3	Sosyal-Özel Gün	0
Deprem Haftası	01.03.2014	07.03.2014	01.03.2015	07.03.2015	01.03.2016	07.03.2016	01.03.2017	07.03.2017	Sabit	3	Sosyal-Özel Gün	0
Noel Haftası	14.03.2014	14.03.2014	14.03.2015	14.03.2015	14.03.2016	14.03.2016	14.03.2017	14.03.2017	Sabit	2	Dini Gün	1
Sağlık ve Sosyal Güvenlik Haftası	07.04.2014	13.04.2014	07.04.2015	13.04.2015	07.04.2016	13.04.2016	07.04.2017	13.04.2017	Sabit	3	Sosyal-Özel Gün	0
Kadın Hakları Günü	08.03.2014	08.03.2014	08.03.2015	08.03.2015	08.03.2016	08.03.2016	08.03.2017	08.03.2017	Sabit	3	Sosyal-Özel Gün	0
Sağlık Haftası	08.04.2014	14.04.2014	08.04.2015	14.04.2015	08.04.2016	14.04.2016	08.04.2017	14.04.2017	Sabit	3	Sosyal-Özel Gün	0
Okulların Açıldığı Gün	01.10.2014	01.10.2014	01.10.2015	01.10.2015	01.10.2016	01.10.2016	01.10.2017	01.10.2017	Değişken	4	Sınav-Okul Tatilleri	0
Kabotaj ve Deniz Bayramı	01.07.2014	01.07.2014	01.07.2015	01.07.2015	01.07.2016	01.07.2016	01.07.2017	01.07.2017	Sabit	3	Sosyal-Özel Gün	0
Müzeler Hastası	18.05.2014	24.05.2014	18.05.2015	24.05.2015	18.05.2016	24.05.2016	18.05.2017	24.05.2017	Sabit	3	Sosyal-Özel Gün	0
Avrupa Günü	05.05.2014	05.05.2014	05.05.2015	05.05.2015	05.05.2016	05.05.2016	05.05.2017	05.05.2017	Sabit	3	Sosyal-Özel Gün	0
Babalar Günü	15.06.2014	15.06.2014	14.06.2015	14.06.2015	14.06.2016	14.06.2016	18.06.2017	18.06.2017	Haziran Ayının Üçüncü Pazar Günü	3	Sosyal-Özel Gün	0
Ebeler Haftası	21.04.2014	28.04.2014	21.04.2015	28.04.2015	21.04.2016	28.04.2016	21.04.2017	28.04.2017	Sabit	3	Sosyal-Özel Gün	0
İstanbul'un Fethi	29.05.2014	29.05.2014	29.05.2015	29.05.2015	29.05.2016	29.05.2016	29.05.2017	29.05.2017	Sabit	3	Sosyal-Özel Gün	0
Ankara'nın Başkent Oluşu	13.10.2014	13.10.2014	13.10.2015	13.10.2015	13.10.2016	13.10.2016	13.10.2017	13.10.2017	Sabit	3	Sosyal-Özel Gün	0
Dünya Gıda Günü	16.10.2014	16.10.2014	16.10.2015	16.10.2015	16.10.2016	16.10.2016	16.10.2017	16.10.2017	Sabit	3	Sosyal-Özel Gün	0
Kardeşlik Haftası	28.04.2014	04.05.2014	28.04.2015	04.05.2015	28.04.2016	04.05.2016	28.04.2017	04.05.2017	Sabit	3	Sosyal-Özel Gün	0
Hava Şehitlerini Anma Günü	15.05.2014	15.05.2014	15.05.2015	15.05.2015	15.05.2016	15.05.2016	15.05.2017	15.05.2017	Sabit	3	Sosyal-Özel Gün	0
Somestr Tatili (Okul)	24.01.2014	10.02.2014	24.01.2015	10.02.2015	24.01.2016	10.02.2016	24.01.2017	10.02.2017	Değişken	4	Sınav-Okul Tatilleri	1
Hemşireler Haftası	12.05.2014	18.05.2014	12.05.2015	18.05.2015	12.05.2016	18.05.2016	12.05.2017	18.05.2017	Sabit	3	Sosyal-Özel Gün	0
